cl 1F191
cool 1F192
free 1F193
id 1F194
koko 1F201
sa 1F202
new 1F195
ng 1F196
ok 1F197
sos 1F198
up 1F199
vs 1F19A
stadium 1F3DF
star_and_crescent 0262A
star_of_david 02721
station 1F689
statue_of_liberty 1F5FD
steam_locomotive 1F682
ramen 1F35C
stopwatch 023F1
straight_ruler 1F4CF
strawberry 1F353
studio_microphone 1F399
partly_sunny 026C5
sun_with_face 1F31E
sunflower 1F33B
sunrise 1F305
sunrise_over_mountains 1F304
city_sunrise 1F307
surfer 1F3C4
sushi 1F363
suspension_railway 1F69F
swimmer 1F3CA
synagogue 1F54D
syringe 1F489
shirt 1F455
tshirt 1F455
table_tennis_paddle_and_ball 1F3D3
taco 1F32E
tanabata_tree 1F38B
tangerine 1F34A
taurus 02649
taxi 1F695
tea 1F375
calendar 1F4C6
telephone_receiver 1F4DE
telescope 1F52D
tv 1F4FA
tennis 1F3BE
tent 026FA
thermometer 1F321
thinking_face 1F914
thought_balloon 1F4AD
three_button_mouse 1F5B1
+1 1F44D
thumbsup 1F44D
__1 1F44E
-1 1F44E
thumbsdown 1F44E
thunder_cloud_and_rain 026C8
ticket 1F3AB
tiger2 1F405
tiger 1F42F
timer_clock 023F2
tired_face 1F62B
toilet 1F6BD
tokyo_tower 1F5FC
tomato 1F345
tongue 1F445
tophat 1F3A9
top 1F51D
trackball 1F5B2
tractor 1F69C
tm 02122
train2 1F686
tram 1F68A
train 1F68B
triangular_flag_on_post 1F6A9
triangular_ruler 1F4D0
trident 1F531
trolleybus 1F68E
trophy 1F3C6
tropical_drink 1F379
tropical_fish 1F420
trumpet 1F3BA
tulip 1F337
turkey 1F983
turtle 1F422
twisted_rightwards_arrows 1F500
two_hearts 1F495
two_men_holding_hands 1F46C
two_women_holding_hands 1F46D
umbrella 02602
umbrella_on_ground 026F1
unamused 1F612
unicorn_face 1F984
small_red_triangle 1F53A
arrow_up_small 1F53C
arrow_up_down 02195
upside__down_face 1F643
arrow_up 02B06
vertical_traffic_light 1F6A6
vibration_mode 1F4F3
v 0270C
video_camera 1F4F9
video_game 1F3AE
vhs 1F4FC
violin 1F3BB
virgo 0264D
volcano 1F30B
volleyball 1F3D0
waning_crescent_moon 1F318
waning_gibbous_moon 1F316
warning 026A0
wastebasket 1F5D1
watch 0231A
water_buffalo 1F403
wc 1F6BE
ocean 1F30A
watermelon 1F349
waving_black_flag 1F3F4
wave 1F44B
waving_white_flag 1F3F3
wavy_dash 03030
waxing_crescent_moon 1F312
moon 1F314
waxing_gibbous_moon 1F314
scream_cat 1F640
weary 1F629
wedding 1F492
weight_lifter 1F3CB
whale2 1F40B
wheel_of_dharma 02638
wheelchair 0267F
point_down 1F447
grey_exclamation 02755
white_flower 1F4AE
white_frowning_face 02639
white_check_mark 02705
white_large_square 02B1C
point_left 1F448
white_medium_small_square 025FD
white_medium_square 025FB
star 02B50
grey_question 02754
point_right 1F449
white_small_square 025AB
relaxed 0263A
white_square_button 1F533
white_sun_behind_cloud 1F325
white_sun_behind_cloud_with_rain 1F326
white_sun_with_small_cloud 1F324
point_up_2 1F446
point_up 0261D
wind_blowing_face 1F32C
wind_chime 1F390
wine_glass 1F377
wink 1F609
wolf 1F43A
woman 1F469
dancers 1F46F
boot 1F462
womans_clothes 1F45A
womans_hat 1F452
sandal 1F461
womens 1F6BA
world_map 1F5FA
worried 1F61F
gift 1F381
wrench 1F527
writing_hand 0270D
yellow_heart 1F49B
yin_yang 0262F
zipper__mouth_face 1F910
